App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Version,Android Version
Major Mayhem,Game,4.6,520962,39936.0,10000000,Free,0.0,Teen,Action,2017-06-28,108,4.0
DINO HUNTER: DEADLY SHORES,Game,4.4,1381820,55296.0,10000000,Free,0.0,Teen,Action,2017-03-14,3.1.1,3.0
Strawberry Shortcake BerryRush,Game,4.3,525517,49152.0,10000000,Free,0.0,Everyone,Action,2017-10-15,1.2.3,2.3
Extreme Match,Game,4.5,696,22031.015115169685,100000,Free,0.0,Everyone,Action,2018-07-05,1.1.7,4.1
Power Rangers Dino Charge,Game,4.3,194969,30720.0,10000000,Free,0.0,Everyone 10+,Action,2018-01-29,1.4.0,4.1
Zombie Hunter King,Game,4.3,10538,51200.0,1000000,Free,0.0,Mature 17+,Action,2018-08-01,1.0.8,2.3
Battlelands Royale,Game,4.4,105620,62464.0,1000000,Free,0.0,Everyone 10+,Action,2018-07-16,0.5.8,4.1
Once Upon a Tower,Game,4.7,37139,50176.0,1000000,Free,0.0,Everyone 10+,Action,2018-01-24,8,4.1
TEKKEN™,Game,4.2,147791,38912.0,5000000,Free,0.0,Teen,Action,2018-07-26,1.3,5.0
Dragon Hills,Game,4.5,354373,67584.0,10000000,Free,0.0,Everyone 10+,Action,2017-10-12,1.2.7,4.1
DC Super Hero Girls™,Game,4.3,43055,97280.0,5000000,Free,0.0,Everyone,Action,2018-06-29,2.8.0,4.0
Metal Soldiers 2,Game,4.4,153381,22031.015115169685,10000000,Free,0.0,Teen,Action,2018-06-18,1.11.2,4.1
Runner 3d like,Game,4.5,559,32768.0,100000,Free,0.0,Everyone 10+,Action,2018-08-03,1.0.7,4.0
War Robots,Game,4.6,3073251,33792.0,50000000,Free,0.0,Everyone 10+,Action,2018-07-25,4.1.1,4.1
Dinosaur Simulator: Dino World,Game,4.0,26649,67584.0,5000000,Free,0.0,Teen,Action,2018-08-05,1.2,4.2
Helix Jump,Game,4.2,1500622,33792.0,100000000,Free,0.0,Everyone,Action,2018-04-09,1.0.6,4.1
Traffic Racer,Game,4.5,5387781,54272.0,100000000,Free,0.0,Everyone,Racing,2018-02-27,2.5,4.1
Hill Climb Racing,Game,4.4,8923847,64512.0,100000000,Free,0.0,Everyone,Racing,2018-07-02,1.37.2,4.2
Bubble Shooter 2,Game,4.3,23043,22031.015115169685,5000000,Free,0.0,Everyone,Arcade,2018-07-25,3.5,4.1
Zombie Catchers,Game,4.7,990796,76800.0,10000000,Free,0.0,Everyone,Action,2018-05-24,1.0.27,4.1
Gems or jewels ?,Game,4.7,171448,13312.0,10000000,Free,0.0,Teen,Puzzle,2018-08-03,1.0.109,4.0
Angry Birds Rio,Game,4.4,2610680,47104.0,100000000,Free,0.0,Everyone,Arcade,2018-07-03,2.6.9,4.1
Candy Crush Jelly Saga,Game,4.3,1300619,79872.0,50000000,Free,0.0,Everyone,Puzzle,2018-07-20,2.1.10,4.0
Cut the Rope FULL FREE,Game,4.4,2123793,50176.0,100000000,Free,0.0,Everyone,Puzzle,2018-07-05,3.7.2,4.1
Hungry Shark Evolution,Game,4.5,6074627,102400.0,100000000,Free,0.0,Teen,Arcade,2018-07-25,6.0.0,4.1
Power Pop Bubbles,Game,4.4,104303,22031.015115169685,10000000,Free,0.0,Everyone,Arcade,2018-08-02,3.15,4.1
Angry Birds Classic,Game,4.4,5566908,99328.0,100000000,Free,0.0,Everyone,Arcade,2018-05-24,7.9.3,4.1
Hill Climb Racing 2,Game,4.6,2750645,22031.015115169685,100000000,Free,0.0,Everyone,Racing,2018-08-02,1.17.2,4.2
Jewels classic Prince,Game,4.4,47644,15360.0,5000000,Free,0.0,Everyone,Puzzle,2018-06-15,2.4.2,4.0
Fruit Block - Puzzle Legend,Game,4.6,125647,33792.0,10000000,Free,0.0,Everyone,Casual,2018-07-23,60,4.1
Bubble Shooter Space,Game,4.2,4355,22031.015115169685,1000000,Free,0.0,Everyone,Casual,2017-07-17,1.6,2.3
Swamp Attack,Game,4.4,2119235,71680.0,50000000,Free,0.0,Everyone 10+,Action,2018-06-29,3.0.1,4.1
1LINE – One Line with One Touch,Game,4.6,214878,10240.0,10000000,Free,0.0,Everyone,Board,2018-08-03,2.0.4,4.1
Stick War: Legacy,Game,4.6,811040,78848.0,10000000,Free,0.0,Teen,Strategy,2018-05-10,1.7.04,4.4
Bowmasters,Game,4.7,1536349,22031.015115169685,50000000,Free,0.0,Teen,Action,2018-07-23,2.12.5,4.1
Marble Woka Woka 2018 - Bubble Shooter Match 3,Game,4.6,155186,22031.015115169685,10000000,Free,0.0,Everyone,Puzzle,2018-08-03,1.3.35,4.1
Pixel Art: Color by Number Game,Game,4.7,1125566,25600.0,10000000,Free,0.0,Everyone,Puzzle,2018-07-17,3.9.2,4.3
Super Jabber Jump 3,Game,4.3,34494,23552.0,5000000,Free,0.0,Everyone 10+,Arcade,2018-07-11,2.5.3182,2.3
Rush,Game,4.6,260651,52224.0,10000000,Free,0.0,Everyone,Arcade,2018-02-14,1.1,4.0
Jetpack Joyride,Game,4.4,4638163,98304.0,100000000,Free,0.0,Everyone 10+,Arcade,2018-07-19,1.10.12,4.1
Farm Heroes Saga,Game,4.4,7614407,71680.0,100000000,Free,0.0,Everyone,Casual,2018-07-26,5.1.8,2.3
Dog Run - Pet Dog Simulator,Game,4.7,48615,24576.0,10000000,Free,0.0,Everyone,Simulation,2018-05-22,1.4.12,4.1
YouTube Kids,Family,4.5,470694,22031.015115169685,50000000,Free,0.0,Everyone,Entertainment,2018-08-03,3.43.3,4.1
ROBLOX,Family,4.5,4449910,68608.0,100000000,Free,0.0,Everyone 10+,Adventure,2018-07-31,2.347.225742,4.1
Super ABC! Learning games for kids! Preschool apps,Family,4.6,20267,47104.0,1000000,Free,0.0,Everyone,Educational,2018-07-16,1.1.6.7,4.1
Educational Games 4 Kids,Family,4.3,11618,39936.0,5000000,Free,0.0,Everyone,Educational,2018-04-03,2.4,4.1
Candy Pop Story,Family,4.7,12948,23552.0,1000000,Free,0.0,Everyone,Casual,2018-05-24,2.0.3165,2.3
Solitaire,Family,4.4,685,26624.0,100000,Free,0.0,Everyone,Card,2018-07-16,1.7.101,4.1
Princess Coloring Book,Family,4.5,9779,39936.0,5000000,Free,0.0,Everyone,Education,2018-02-25,1.2.8,4.0
Hello Kitty Nail Salon,Family,4.2,369378,24576.0,50000000,Free,0.0,Everyone,Casual,2018-04-17,1.5,4.1
Dog Run - Pet Dog Simulator,Family,4.7,48615,24576.0,10000000,Free,0.0,Everyone,Simulation,2018-05-22,1.4.12,4.1
Princess Adventures Puzzles,Family,4.4,382,45056.0,500000,Free,0.0,Everyone,Education,2018-08-01,1.1.0,2.3
Kids Educational Game 3 Free,Family,4.3,24936,38912.0,5000000,Free,0.0,Everyone,Educational,2018-05-16,3.1,4.1
Puzzle Kids - Animals Shapes and Jigsaw Puzzles,Family,4.6,1109,53248.0,1000000,Free,0.0,Everyone,Educational,2018-07-18,1.0.6,4.1
Kids Educational :All in One,Family,4.5,1455,9113.6,500000,Free,0.0,Everyone,Education,2018-02-01,2.7,2.3
Toca Kitchen 2,Family,4.5,1014822,57344.0,50000000,Free,0.0,Everyone,Educational,2017-06-29,1.2.3,4.1
Bubble Shooter,Family,4.4,59843,20480.0,5000000,Free,0.0,Everyone,Puzzle,2018-01-09,2.3.3122,2.3
Barbie™ Fashion Closet,Family,4.1,68286,87040.0,10000000,Free,0.0,Everyone,Casual,2018-07-30,1.3.7,4.1
Candy Day,Family,4.5,11716,49152.0,1000000,Free,0.0,Everyone,Casual,2018-08-03,8.4.3180,4.0
Barbie Magical Fashion,Family,4.0,328619,15360.0,10000000,Free,0.0,Everyone,Casual,2017-10-06,2.2,4.1
Educational Games for Kids,Family,4.5,7050,24576.0,1000000,Free,0.0,Everyone,Educational,2018-05-27,2,4.0
No.Draw - Colors by Number 2018,Family,4.5,235906,13312.0,10000000,Free,0.0,Everyone,Entertainment,2018-07-29,1.2.0,4.1
Baby Tiger Care - My Cute Virtual Pet Friend,Family,4.5,432,64512.0,100000,Free,0.0,Everyone 10+,Educational,2018-07-27,1.0.89,4.4
Strawberry Shortcake Ice Cream Island,Family,4.2,32029,15360.0,5000000,Free,0.0,Everyone,Casual,2017-11-06,1.2,4.1
Rhythm Patrol,Family,4.3,4207,26624.0,100000,Free,0.0,Everyone,Music,2018-07-23,2.180723,4.1
Kiddopia - Preschool Learning Games,Family,4.5,64,82944.0,10000,Free,0.0,Everyone,Educational,2018-07-18,1.1.2,5.0
Toca Mystery House,Family,4.2,96,80896.0,5000,Paid,3.99,Everyone,Educational,2018-06-14,1.0.1,4.4
Papumba Academy - Fun Learning For Kids,Family,4.4,496,96256.0,100000,Free,0.0,Everyone,Education,2018-07-11,1,4.2
Drawing for Kids Learning Games for Toddlers age 3,Family,4.6,29436,44032.0,1000000,Free,0.0,Everyone,Educational,2018-03-21,2.0.5.0,4.1
Dr. Panda Restaurant 3,Family,4.2,11126,93184.0,1000000,Free,0.0,Everyone,Educational,2018-03-23,1.6.4,4.1
LEGO® Friends: Heartlake Rush,Family,4.5,23671,93184.0,1000000,Free,0.0,Everyone,Arcade,2018-07-31,1.2.0,4.1
Baby ABC in box! Kids alphabet games for toddlers!,Family,4.6,9652,54272.0,1000000,Free,0.0,Everyone,Educational,2018-07-16,2.0.7.4,4.1
Henry Danger Crime Warp,Family,4.6,9626,28672.0,1000000,Free,0.0,Everyone,Action,2018-02-07,1.1,4.4
Thomas & Friends: Race On!,Family,4.1,29319,26624.0,5000000,Free,0.0,Everyone,Casual,2018-05-18,2.4,4.4
Super School: Educational Kids Games & Rhymes,Family,4.5,1791,57344.0,500000,Free,0.0,Everyone,Education,2018-06-02,5.3.11,5.0
Fruit Cube Blast,Family,4.6,9199,81920.0,500000,Free,0.0,Everyone,Puzzle,2018-08-03,1.2.7,4.1
Dr. Panda Town: Vacation,Family,3.8,10366,79872.0,1000000,Free,0.0,Everyone,Education,2018-07-24,1.2.1,4.1
Fuzzy Seasons: Animal Forest,Family,4.8,12137,64512.0,100000,Free,0.0,Everyone 10+,Simulation,2018-08-06,149,4.1
Montessori Preschool,Family,3.9,237,26624.0,100000,Free,0.0,Everyone,Education,2018-07-12,1.7.2,4.1
Kids Corner: Interactive Tales and Games for kids,Family,4.5,6404,47104.0,500000,Free,0.0,Everyone,Educational,2018-07-16,1.8.3,4.1
Cutie Cubies,Family,4.4,6356,84992.0,500000,Free,0.0,Everyone,Puzzle,2018-07-04,1.180702,4.1
My Little Princess : Stores,Family,4.3,169,61440.0,5000,Paid,2.99,Everyone,Educational,2018-05-25,1.08,4.1
Sago Mini Big City,Family,4.2,8,45056.0,1000,Paid,3.99,Everyone,Education,2018-07-09,1.1,4.4
Pinkalicious Party,Family,3.0,2,83968.0,500,Paid,2.99,Everyone,Educational,2018-06-25,1.5.0,4.1
ROBLOX,Family,4.5,4450855,68608.0,100000000,Free,0.0,Everyone 10+,Adventure,2018-07-31,2.347.225742,4.1
Dog Run - Pet Dog Simulator,Family,4.7,48701,24576.0,10000000,Free,0.0,Everyone,Simulation,2018-05-22,1.4.12,4.1
Moana Island Life,Family,4.1,15246,79872.0,1000000,Free,0.0,Everyone,Simulation,2017-07-12,3.2.473.202,4.0
Basketball FRVR - Shoot the Hoop and Slam Dunk!,Family,4.5,4076,22031.015115169685,100000,Free,0.0,Everyone,Sports,2018-08-01,1.3.3,4.1
My Oasis - Calming and Relaxing Idle Clicker Game,Family,4.6,106750,96256.0,1000000,Free,0.0,Everyone,Simulation,2018-06-29,1.221,4.1
My Little Pony Rainbow Runners,Family,4.3,33785,16384.0,5000000,Free,0.0,Everyone,Casual,2017-12-20,1.3,4.1
Extreme Racing 2 - Real driving RC cars game!,Family,4.3,4207,95232.0,500000,Free,0.0,Everyone,Racing,2017-08-31,1.1.9,4.1
Snoopy's Town Tale - City Building Simulator,Family,4.2,47031,59392.0,1000000,Free,0.0,Everyone,Simulation,2018-07-30,3.2.4,4.4
Car Racing game for Kids - Beepzz Dogs 🐕,Family,4.4,131,49152.0,100000,Free,0.0,Everyone,Racing,2018-06-13,1.1.1,4.2
Pony Friends 🦄 - Beepzz racing game for kids,Family,4.5,114,70656.0,50000,Free,0.0,Everyone,Racing,2018-06-13,1.4.3,4.2
LEGO® Juniors Create & Cruise,Family,4.1,673203,74752.0,50000000,Free,0.0,Everyone,Educational,2018-01-19,6.7.5222,4.1
Xtreme Racing 2018 - Jeep & 4x4 off road simulator,Family,4.2,2178,101376.0,500000,Free,0.0,Everyone,Racing,2017-08-23,1.0.8,4.1
Thomas & Friends: Go Go Thomas,Family,4.1,175625,16384.0,10000000,Free,0.0,Everyone,Racing,2017-11-22,1.4,4.1
Paw Patrol by ShuffleCards,Family,4.3,3484,57344.0,1000000,Free,0.0,Everyone,Entertainment,2017-03-07,1.0.1,4.0
Plants vs. Zombies™ Heroes,Family,4.4,379415,69632.0,10000000,Free,0.0,Everyone,Casual,2018-06-26,1.28.01,4.1
Transformers Rescue Bots: Disaster Dash,Family,4.4,19245,25600.0,1000000,Free,0.0,Everyone,Casual,2018-03-28,1.3,4.1
Mcqueen Coloring pages,Family,4.193338315362443,65,7168.0,100000,Free,0.0,Everyone,Art & Design,2018-03-07,1.0.0,4.1
PAC-MAN Pop,Family,4.3,24877,55296.0,5000000,Free,0.0,Everyone,Puzzle,2018-06-20,2.1.6579,4.1
Monster Truck Driver & Racing,Family,4.4,765,52224.0,1000000,Free,0.0,Everyone,Education,2017-01-19,1.0.9,2.3
Strawberry Shortcake BerryRush,Family,4.3,525552,49152.0,10000000,Free,0.0,Everyone,Action,2017-10-15,1.2.3,2.3
Little Fire Station,Family,4.2,3762,45056.0,1000000,Free,0.0,Everyone,Education,2018-07-02,1.47,4.3
Ice Cream Jump,Family,4.2,141363,8908.8,10000000,Free,0.0,Everyone,Casual,2018-01-21,1.20.2,2.3
My Little Pony: Harmony Quest,Family,4.1,148295,26624.0,10000000,Free,0.0,Everyone,Casual,2018-03-05,1.6,4.1
Transformers Rescue Bots: Hero Adventures,Family,4.2,41273,16384.0,5000000,Free,0.0,Everyone,Adventure,2018-07-05,1.5,4.1
Robots Vs Zombies: Transform To Race And Fight,Family,4.5,278,22031.015115169685,100000,Free,0.0,Everyone,Racing,2018-07-11,3.49,4.2
Equestria Girls,Family,4.3,392596,54272.0,10000000,Free,0.0,Everyone,Role Playing,2016-07-22,37893,4.0
DC Super Hero Girls™,Family,4.3,43060,97280.0,5000000,Free,0.0,Everyone,Action,2018-06-29,2.8.0,4.0
Disney Crossy Road,Family,4.5,514088,84992.0,10000000,Free,0.0,Everyone,Arcade,2018-05-30,3.200.18289,4.4
Toca Kitchen 2,Family,4.5,1014846,57344.0,50000000,Free,0.0,Everyone,Educational,2017-06-29,1.2.3,4.1
Doctor Pets,Family,4.2,23060,21504.0,1000000,Free,0.0,Everyone,Educational,2018-07-26,1.19,4.1
Supermarket – Game for Kids,Family,4.4,112080,26624.0,10000000,Free,0.0,Everyone,Casual,2018-07-26,1.24,4.1
Supermarket Manager: Cashier Simulator Kids Games,Family,4.0,15489,61440.0,1000000,Free,0.0,Everyone,Casual,2017-10-11,2.4.9,4.0
Kids Animals Jigsaw Puzzles 😄,Family,4.1,51895,22528.0,10000000,Free,0.0,Everyone,Educational,2018-06-16,18.1,4.2
Monster High™,Family,4.1,66661,22528.0,5000000,Free,0.0,Everyone,Casual,2018-02-02,5.2,4.1
Cute Pet Puppies,Family,4.0,10447,36864.0,1000000,Free,0.0,Everyone,Simulation,2016-02-18,1.0.4,2.3
Frozen Free Fall,Family,4.3,1574197,37888.0,50000000,Free,0.0,Everyone,Puzzle,2018-07-27,6.7.0,4.2
Shopkins World!,Family,4.3,169609,34816.0,10000000,Free,0.0,Everyone,Arcade,2018-06-13,3.6.1,4.1
Monica Toy TV,Family,4.7,6188,50176.0,500000,Free,0.0,Everyone 10+,Entertainment,2018-04-03,1.6.4,4.1
Toy Guitar with songs for kids,Family,4.3,1369,10035.2,500000,Free,0.0,Everyone,Music & Audio,2016-03-05,1.0.3,2.3
Endless Numbers,Family,4.4,2952,37888.0,500000,Free,0.0,Everyone,Education,2018-06-19,1.2.0,5.1
Toddler Learning Games - Little Kids Games,Family,4.2,731,22031.015115169685,100000,Free,0.0,Everyone,Educational,2018-07-28,3.7.2.7,4.2
Sworkit Kids - Fitness Meets Fun,Family,4.7,9856,56320.0,100000,Free,0.0,Everyone,Health & Fitness,2016-02-02,1.1.1,4.0
Earth to Luna! Watch and Play,Family,3.9,10753,86016.0,1000000,Free,0.0,Everyone,Educational,2018-07-23,2.5.6,4.1
Nancy Drew Codes and Clues,Family,4.1,154,16384.0,10000,Free,0.0,Everyone,Educational,2017-01-13,2.0.0,4.1
Masha and the Bear Child Games,Family,4.1,288523,94208.0,10000000,Free,0.0,Everyone,Adventure,2018-05-08,2.7.4,4.0
codeSpark Academy & The Foos,Family,4.1,4522,58368.0,500000,Free,0.0,Everyone,Educational,2018-06-21,2.19.01,4.1
Toca Life: City,Family,4.7,31100,24576.0,500000,Paid,3.99,Everyone,Education,2018-07-06,1.5,4.4
My Little Work – Garage,Family,4.3,560,45056.0,10000,Paid,3.99,Everyone,Casual,2015-06-17,2.0.1,2.3
"Alizay, pirate girl",Family,4.5,197,11264.0,1000,Paid,2.99,Everyone,Casual,2017-03-23,4.0.2,2.3
Chess Free,Family,4.3,23772,17408.0,5000000,Free,0.0,Everyone,Board,2017-08-02,1.15.3028.0,2.3
Tic Tac Toe,Family,4.1,6007,18432.0,1000000,Free,0.0,Everyone,Board,2017-07-03,1.6.3028.0,2.3
Dominos Game ✔️,Family,4.1,2903,16384.0,1000000,Free,0.0,Everyone,Board,2018-07-05,5.2,4.1
Checkers ✔️,Family,4.1,3617,19456.0,1000000,Free,0.0,Everyone,Board,2018-07-24,4.0.2,4.1
Crazy Colors: Bubbles Matching,Family,4.6,3063,1638.4,100000,Free,0.0,Everyone,Board,2018-05-24,2.9.7,3.0
Chess for Kids - Play & Learn,Family,4.1,3234,48128.0,100000,Free,0.0,Everyone,Puzzle,2018-05-15,2.2.3,4.1
Block Puzzle : Night in Egypt,Family,4.4,276,16384.0,50000,Free,0.0,Everyone,Puzzle,2017-09-12,1.2.16,2.3
Chess School for Beginners,Family,4.3,879,22031.015115169685,100000,Free,0.0,Everyone,Board,2018-05-22,1.1.0,4.1
RISK: Global Domination,Family,4.0,68559,76800.0,5000000,Free,0.0,Everyone,Board,2018-07-31,1.19.56.434,4.4
Pino chess,Family,4.8,61,25600.0,1000,Free,0.0,Everyone,Casual,2017-01-26,0.1.0,4.0
Chess PRO Free,Family,3.8,1123,5836.8,100000,Free,0.0,Everyone,Board,2016-09-08,4.2,2.3
All-in-One Mahjong 3 FREE,Family,4.5,566,17408.0,50000,Free,0.0,Everyone,Board,2018-06-13,20180609,4.0
Hactar Go,Family,4.8,97,3584.0,1000,Paid,2.99,Everyone,Board,2018-03-30,2.4.15,4.0
All-in-One Mahjong 3,Family,4.4,38,16384.0,100,Paid,0.99,Everyone,Board,2018-06-14,20180609,4.0
World Racers family board game,Family,4.8,4,43008.0,100,Paid,0.99,Everyone,Board,2015-09-03,1.1,5.1
Steam: Rails to Riches,Family,4.2,214,68608.0,5000,Paid,4.99,Everyone,Board,2017-12-13,3.3.1,4.1
Whoowasit? - Best kids game!,Family,4.0,248,26624.0,5000,Paid,2.99,Everyone,Board,2018-07-24,1.6,4.1
Lanterns: The Harvest Festival,Family,4.7,185,73728.0,1000,Paid,4.99,Everyone,Board,2018-05-01,1.16.5,4.1
Tsuro - The Game of the Path,Family,4.7,2195,37888.0,10000,Paid,2.99,Everyone,Board,2016-08-02,1.3.3,2.3
THE aMAZEing Labyrinth,Family,3.9,1615,1228.8,10000,Paid,4.99,Everyone,Board,2016-02-09,1.0.3,4.0
Chess and Mate,Family,4.5,359,17408.0,5000,Paid,4.99,Everyone,Board,2015-08-12,2.0.5,2.3
Sounds for Toddlers FREE,Family,4.4,6190,23552.0,1000000,Free,0.0,Everyone,Educational,2015-08-24,1.7.1,4.0
Elmo Calls by Sesame Street,Family,3.9,6903,25600.0,1000000,Free,0.0,Everyone,Educational,2018-01-31,2.0.7,2.3
Bita and the Animals - Pelos Ares,Family,4.4,1160,37888.0,100000,Free,0.0,Everyone,Education,2013-05-22,1,2.2
TO-FU Oh!SUSHI,Family,4.1,59917,94208.0,5000000,Free,0.0,Everyone,Education,2018-07-31,2.3,4.4
DreamWorks Friends,Family,3.6,1042,49152.0,100000,Free,0.0,Everyone,Role Playing,2017-08-04,2.5,4.3
Nighty Night Circus,Family,4.3,382,15360.0,10000,Paid,2.99,Everyone,Education,2017-03-07,2.6,2.3
Dr. Panda & Toto's Treehouse,Family,4.4,3396,9728.0,50000,Paid,3.99,Everyone,Casual,2014-12-09,1.8,4.0
ROBLOX,Family,4.5,4450890,68608.0,100000000,Free,0.0,Everyone 10+,Adventure,2018-07-31,2.347.225742,4.1
YouTube Kids,Family,4.5,470713,22031.015115169685,50000000,Free,0.0,Everyone,Entertainment,2018-08-03,3.43.3,4.1
Fun Kid Racing - Motocross,Family,4.1,59729,22031.015115169685,10000000,Free,0.0,Everyone,Racing,2018-06-27,3.46,4.2
Barbie Life™,Family,3.9,133117,64512.0,5000000,Free,0.0,Everyone,Casual,2018-07-12,2.6,4.1
Palace Pets in Whisker Haven,Family,4.1,47213,14336.0,5000000,Free,0.0,Everyone,Entertainment,2017-12-09,1.8,4.2
Sweet Baby Girl - Dream House and Play Time,Family,3.9,95537,59392.0,10000000,Free,0.0,Everyone,Educational,2018-07-13,2.2.54,4.4
Monster High™,Family,4.1,66660,22528.0,5000000,Free,0.0,Everyone,Casual,2018-02-02,5.2,4.1
Hello Kitty Lunchbox,Family,4.2,51838,15360.0,5000000,Free,0.0,Everyone,Casual,2017-11-21,1.6,4.1
Sweet Baby Girl Newborn Baby,Family,3.8,36028,51200.0,5000000,Free,0.0,Everyone,Educational,2018-07-02,1.3.51,4.4
COOKING MAMA Let's Cook!,Family,4.3,528745,60416.0,10000000,Free,0.0,Everyone,Educational,2018-07-26,1.38.0,4.1
Fun Kid Racing,Family,4.0,79667,22031.015115169685,10000000,Free,0.0,Everyone,Racing,2018-08-03,3.52,4.2
Learn to Read with Tommy Turtle,Family,4.0,20763,22031.015115169685,5000000,Free,0.0,Everyone,Educational,2018-03-06,3.6.17,2.3
Frozen Free Fall,Family,4.3,1574204,37888.0,50000000,Free,0.0,Everyone,Puzzle,2018-07-27,6.7.0,4.2
Nick,Family,4.2,123322,25600.0,10000000,Free,0.0,Everyone 10+,Entertainment,2018-01-24,2.0.8,4.4
Mad Libs,Family,4.0,8126,62464.0,1000000,Free,0.0,Everyone,Entertainment,2018-07-31,1.1.1,6.0
ABCmouse.com,Family,4.3,50887,93184.0,5000000,Free,0.0,Everyone,Education,2018-07-03,7.2.0,4.4
My Little Pony Celebration,Family,4.3,63160,17408.0,1000000,Free,0.0,Everyone,Simulation,2016-07-22,1.0.0,2.3
Thomas & Friends: Delivery,Family,4.2,28737,17408.0,1000000,Free,0.0,Everyone,Casual,2016-02-05,1,2.3
Nasty Goats,Family,4.3,45579,65536.0,1000000,Free,0.0,Everyone,Arcade,2016-04-14,1.1.0,4.0
Starfall Free & Member,Family,4.2,19720,41984.0,1000000,Free,0.0,Everyone,Education,2017-11-07,1.35.23,4.0
Animal Jam - Play Wild!,Family,4.6,361970,59392.0,5000000,Free,0.0,Everyone,Casual,2018-08-02,28.0.14,4.1
Video Editor,Family,4.1,159619,23552.0,5000000,Free,0.0,Everyone,Video Players & Editors,2018-07-17,6.14.091,4.3
Real Racing 3,Family,4.5,354384,72704.0,10000000,Free,0.0,Everyone,Racing,2018-07-02,6.4.0,4.1
Peak – Brain Games & Training,Family,4.4,272321,22031.015115169685,10000000,Free,0.0,Everyone,Education,2018-08-03,3.14.15,5.0
Monash Uni Low FODMAP Diet,Medical,4.2,1135,12288.0,100000,Paid,9.0,Everyone,Medical,2018-07-16,2.0.7,4.0
iBP Blood Pressure,Medical,4.4,578,704.0,10000,Paid,0.99,Everyone,Medical,2014-11-30,7.0.1,2.2
Pedi STAT,Medical,4.6,129,2969.6,10000,Paid,5.49,Everyone,Medical,2018-04-06,3.0.1.0,4.1
ASCCP Mobile,Medical,4.5,63,25600.0,10000,Paid,9.99,Everyone,Medical,2016-10-03,2.1.1,2.2
Paramedic Protocol Provider,Medical,4.5,171,20480.0,10000,Paid,10.0,Everyone 10+,Medical,2017-09-21,1.8.3,4.1
MommyMeds,Medical,3.2,45,21504.0,5000,Paid,3.99,Everyone,Medical,2017-11-15,2.0.1,6.0
Medical ID - In Case of Emergency (ICE),Medical,4.6,717,5529.6,5000,Paid,5.99,Everyone,Medical,2018-05-31,6.5.0,5.0
Human Anatomy Atlas 2018: Complete 3D Human Body,Medical,4.5,2921,25600.0,100000,Paid,24.99,Everyone,Medical,2018-05-25,2018.5.47,5.0
ASRA Coags,Medical,4.4,15,5939.2,1000,Paid,3.99,Everyone,Medical,2018-08-01,2.1,4.1
IBM Micromedex Drug Info,Medical,3.8,206,9728.0,10000,Paid,2.99,Everyone,Medical,2018-04-25,1.17.0,4.0
Diabetes & Diet Tracker,Medical,4.6,395,19456.0,1000,Paid,9.99,Everyone,Medical,2018-07-16,6.5.1,5.0
Block Buddy,Medical,4.0,15,5120.0,1000,Paid,14.99,Everyone,Medical,2018-08-01,7.6.14,4.0
Super Hearing Secret Voices Recorder PRO,Medical,5.0,3,23552.0,100,Paid,2.99,Everyone,Medical,2018-04-20,1,4.1
Arrhythmias and Dysrhythmias,Medical,4.193338315362443,3,24576.0,500,Paid,1.0,Everyone,Medical,2016-01-24,1,4.2
EMT PASS,Medical,3.4,51,2457.6,1000,Paid,29.99,Everyone,Medical,2014-10-22,2.0.2,4.0
Pocket Lab Values,Medical,4.3,214,899.0,10000,Paid,2.99,Everyone,Medical,2012-11-22,2.5,2.1
Medical terms (OFFLINE),Medical,4.4,104,38912.0,1000,Paid,2.99,Teen,Medical,2018-05-24,3.2.0,4.1
"Cardiac diagnosis (heart rate, arrhythmia)",Medical,4.4,8,6656.0,100,Paid,12.99,Everyone,Medical,2018-07-25,7,3.0
ERres- Emergency Medicine,Medical,4.2,45,14336.0,1000,Paid,4.99,Everyone,Medical,2015-08-18,6,4.0
FHR 5-Tier 2.0,Medical,5.0,2,1228.8,500,Paid,2.99,Everyone,Medical,2015-12-16,1,4.0
AnatomyMapp,Medical,4.1,80,49152.0,5000,Paid,14.99,Everyone,Medical,2013-11-05,1,3.0
OptoDrum,Medical,3.9,10,378.0,1000,Paid,5.99,Everyone,Medical,2015-05-26,1,3.0
"Migraine, Headache Diary HeadApp Pro",Medical,4.6,156,22528.0,500,Paid,3.49,Everyone,Medical,2018-03-14,1.10.0...,4.4
Blood Pressure Companion,Medical,4.2,178,4915.2,1000,Paid,0.99,Everyone,Medical,2018-07-22,4.1.5,4.1
"Muscle Premium - Human Anatomy, Kinesiology, Bones",Medical,4.2,168,25600.0,10000,Paid,24.99,Everyone,Medical,2017-08-11,7.1.17,4.4
CCHT PREP,Medical,3.6,25,266.0,1000,Paid,10.99,Everyone,Medical,2016-12-08,1.2,2.1
Paramedic Meds,Medical,4.5,163,375.0,10000,Paid,1.99,Everyone,Medical,2015-08-03,3.4.3,1.6
OmniMedix Medical Calculator,Medical,4.7,25,1228.8,1000,Paid,4.99,Everyone,Medical,2016-06-11,3.1.6,3.0
Lab Values + Medical Reference,Medical,4.5,133,2867.2,10000,Paid,2.99,Everyone,Medical,2014-08-02,3,2.3
Recognise Foot,Medical,4.2,9,97280.0,1000,Paid,7.49,Everyone,Medical,2017-09-14,1.0.3,4.1
